Cluster,Number_of_Countries,Countries
Upper-Middle Development Profile,57,"Albania, Antigua and Barbuda, Bahamas, Barbados, Belarus, Belize, Bhutan, Bosnia and Herzegovina, Bulgaria, Cambodia, Cape Verde, Chile, Costa Rica, Croatia, Cyprus, Czech Republic, El Salvador, Estonia, Fiji, Georgia, Grenada, Guyana, Hungary, Jordan, Kyrgyz Republic, Latvia, Lebanon, Libya, Lithuania, Macedonia, FYR, Malaysia, Maldives, Mauritius, Micronesia, Fed. Sts., Moldova, Montenegro, Morocco, Panama, Paraguay, Poland, Romania, Samoa, Serbia, Seychelles, Slovak Republic, Slovenia, Solomon Islands, South Korea, St. Vincent and the Grenadines, Suriname, Thailand, Tunisia, Turkmenistan, Ukraine, Uruguay, Vanuatu, Vietnam"
Low Development Profile,42,"Afghanistan, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Comoros, Congo, Dem. Rep., Congo, Rep., Cote d'Ivoire, Equatorial Guinea, Gambia, Ghana, Guinea, Guinea-Bissau, Haiti, Kenya, Kiribati, Lao, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Namibia, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, South Africa, Sudan, Tanzania, Timor-Leste, Togo, Uganda, Zambia"
Trade-Oriented High-Income Economies,10,"Bahrain, Brunei, Ireland, Kuwait, Luxembourg, Malta, Oman, Qatar, Singapore, United Arab Emirates"
Lower-Middle Development Profile,36,"Algeria, Argentina, Armenia, Azerbaijan, Bangladesh, Bolivia, Brazil, China, Colombia, Dominican Republic, Ecuador, Egypt, Eritrea, Gabon, Guatemala, India, Indonesia, Iran, Iraq, Jamaica, Kazakhstan, Mongolia, Myanmar, Nepal, Pakistan, Peru, Philippines, Russia, Saudi Arabia, Sri Lanka, Tajikistan, Tonga, Turkey, Uzbekistan, Venezuela, Yemen"
Advanced High-Income Economies,22,"Australia, Austria, Belgium, Canada, Denmark, Finland, France, Germany, Greece, Iceland, Israel, Italy, Japan, Netherlands, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, United Kingdom, United States"
