,3,4,5,6,7
Silhouette Score,0.2458399232548436,0.22191328753282924,0.22257389463665966,0.19719623041405276,0.23662941863165318
Calinski-Harabasz,83.48760694046044,68.6872278490869,61.48691635063042,54.67754447798592,52.052061478341756
Davies-Bouldin,1.3837456868679816,1.426988720541368,1.4620144335555978,1.402068532889257,1.3122927612250541
Smallest Cluster,48.0,30.0,24.0,19.0,8.0
Largest Cluster,64.0,57.0,44.0,38.0,38.0
Size Ratio (max/min),1.3333333333333333,1.9,1.8333333333333333,2.0,4.75
Number of Clusters,3.0,4.0,5.0,6.0,7.0
