,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Developing Economies with Moderate Human Development,32.324390243902435,42.34878048780487,6.354146341463414,53.863414634146345,7958.292682926829,7.823195121951219,69.15609756097561,2.863658536585366,3917.4634146341464
Advanced Human Development Economies,5.732258064516128,36.09032258064516,9.956129032258064,36.39354838709678,32958.709677419356,2.107483870967742,79.69999999999999,1.7470967741935484,35055.48387096774
Severe Development Vulnerability,94.07045454545455,23.75431818181818,6.277045454545455,41.525,2170.2954545454545,11.613977272727272,59.88409090909091,4.967272727272728,951.8181818181819
Trade-Integrated Economies,8.114814814814814,77.51851851851852,6.735925925925926,76.93703703703704,28414.814814814814,2.481037037037037,76.71481481481482,1.71,20606.666666666668
Economies with Macroeconomic Vulnerability,22.079166666666666,36.329541666666664,4.625,24.5694125,27185.833333333332,13.978333333333333,73.77083333333333,2.3337499999999998,13309.083333333334
