,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Emerging Economies,16.814035087719297,49.27543859649123,6.933157894736842,58.42456140350877,13869.473684210527,3.9248070175438596,73.60175438596491,2.1119298245614035,8339.578947368422
Least Developed Countries,96.78571428571429,29.16,6.626428571428572,44.26428571428571,3500.309523809524,11.5625,58.5047619047619,5.0859523809523814,1768.3333333333333
High-Income Export Economies,7.58,104.03,4.825,79.44,66260.0,7.4604,78.81,1.924,44050.0
Developing Economies,33.25833333333333,26.602194444444443,5.106944444444444,29.271274999999996,10627.5,13.380555555555555,71.16944444444444,2.7633333333333336,4971.888888888889
Advanced Economies,4.3,37.9,10.573636363636364,36.054545454545455,40018.181818181816,1.5419545454545456,80.91363636363636,1.8,45268.181818181816
