,child_mort,income,gdpp,life_expec,inflation,total_fer,exports,imports,health
Moderate Development,32.324390243902435,7958.292682926829,3917.4634146341464,69.15609756097561,7.823195121951219,2.863658536585366,42.34878048780487,53.863414634146345,6.354146341463414
Advanced Development,5.732258064516128,32958.709677419356,35055.48387096774,79.69999999999999,2.107483870967742,1.7470967741935484,36.09032258064516,36.39354838709678,9.956129032258064
Severe Vulnerability,94.07045454545455,2170.2954545454545,951.8181818181819,59.88409090909091,11.613977272727272,4.967272727272728,23.75431818181818,41.525,6.277045454545455
Trade-Integrated,8.114814814814814,28414.814814814814,20606.666666666668,76.71481481481482,2.481037037037037,1.71,77.51851851851852,76.93703703703704,6.735925925925926
Macroeconomic Vulnerability,22.079166666666666,27185.833333333332,13309.083333333334,73.77083333333333,13.978333333333333,2.3337499999999998,36.329541666666664,24.5694125,4.625
