,child_mort_mean,child_mort_median,child_mort_min,child_mort_max,child_mort_std,income_mean,income_median,income_min,income_max,income_std,gdpp_mean,gdpp_median,gdpp_min,gdpp_max,gdpp_std,life_expec_mean,life_expec_median,life_expec_min,life_expec_max,life_expec_std,inflation_mean,inflation_median,inflation_min,inflation_max,inflation_std,total_fer_mean,total_fer_median,total_fer_min,total_fer_max,total_fer_std,count
Low-Development Profile,16.814035087719297,14.4,3.2,62.0,11.897305196023103,13869.473684210527,13000.0,1780.0,33900.0,8000.472178264728,8339.578947368422,6680.0,786.0,30800.0,6698.8943729207185,73.60175438596491,74.0,61.7,80.4,4.299231294581715,3.92480701754386,2.65,-4.21,15.1,4.045364712670701,2.1119298245614035,1.92,1.23,4.34,0.7374266031188926,57.0
Developing-Economy Profile,96.78571428571428,90.4,52.5,208.0,32.705474826452125,3500.309523809524,1835.0,609.0,33700.0,5502.160189917851,1768.3333333333333,763.5,231.0,17100.0,2898.644869814309,58.504761904761914,58.75,32.1,71.1,6.438336112160306,11.562500000000002,7.225,0.885,104.0,16.289629772028466,5.0859523809523814,5.205,2.59,7.49,1.0701631047872335,42.0
High-Income Trade-Oriented Profile,7.58,8.6,2.8,11.7,3.2947095639997026,66260.0,64850.0,28300.0,125000.0,28729.125755349163,44050.0,36900.0,19300.0,105000.0,26469.783611590865,78.81000000000002,78.85,76.0,82.7,2.367112634037981,7.460399999999998,7.210000000000001,-3.22,16.7,6.579278366372882,1.924,1.96,1.15,2.9,0.4877203205845652,10.0
Emerging-Economy Profile,33.258333333333326,28.200000000000003,10.0,92.1,18.760968220521793,10627.5,8955.0,1420.0,45400.0,8243.5423644381,4971.888888888889,4005.0,482.0,19300.0,4274.257133636727,71.16944444444444,70.45,61.7,78.2,4.27168882256484,13.380555555555556,11.25,3.68,45.9,9.043570389886144,2.7633333333333336,2.6,1.57,4.67,0.8490229678872062,36.0
Advanced-Economy Profile,4.300000000000001,4.2,2.6,7.3,1.0906529280774016,40018.181818181816,40100.0,27200.0,62300.0,8359.348138383837,45268.181818181816,44450.0,22500.0,87800.0,14734.09994871425,80.91363636363636,80.95,78.7,82.8,1.011032218668697,1.5419545454545451,1.0205,-1.9,5.95,1.7790832705496906,1.8,1.8650000000000002,1.37,3.03,0.38565960811748656,22.0
