Feature,F,p,Eta²
Child Mortality,225.35061889652573,4.479101318755537e-65,0.8476588086644126
GDP per Capita,142.1199749135136,6.681495186709976e-52,0.7782279839914541
Income,134.94599810094175,1.696887727282668e-50,0.769159738960255
Life Expectancy,116.53307472044546,1.3022180415152088e-46,0.7420925491518318
Total Fertility,100.84163797747125,6.328236256400941e-43,0.713460233095251
Imports,38.0160478362153,2.073253243111979e-22,0.48418188235246995
Exports,27.590167146483086,1.791471693658506e-17,0.40520046142827154
Health Expenditure,21.89032610192729,1.8535226787557445e-14,0.3508609021559687
Inflation,20.417790974904207,1.227552094992512e-13,0.3351695891815176
